Timestamp,Therapist joint angle 0,Therapist joint angle 1,Therapist joint angle 2,Therapist joint angle 3,Therapist joint angle 4,Therapist joint angle 5,Patient joint angle 0,Patient joint angle 1,Patient joint angle 2,Patient joint angle 3,Patient joint angle 4,Patient joint angle 5,Virtual joint angle 0,Virtual joint angle 1,Virtual joint angle 2,Therapist position x,Therapist position y,Therapist position z,Patient position x,Patient position y,Patient position z,Virtual position x,Virtual position y,Virtual position z,Assistive Force, Obstacle Force Magnitude, Therapist Constant Force, Patient Constant Force, Recovery Factor, Assistance Level,,label
6.38223E+17,34.4211,-0.9818845,-8.358321,-19.18402,13.96523,-7.318305,-4.570632,-0.4675641,0.1400836,-35.15147,-8.447793,45.05199,0,0,0,64.41048,-110.8687,-74.35516,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,9.01E-08,0,,
6.38223E+17,34.4211,-0.9818845,-8.334974,-19.11078,14.03847,-7.318305,-4.570632,-0.4675641,0.1400836,-35.15147,-8.447793,45.12524,0,0,0,64.44086,-110.8766,-74.31081,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,,
6.38223E+17,34.4211,-0.9818845,-8.19489,-18.59806,14.11172,-7.464796,-4.570632,-0.4675641,0.1400836,-35.15147,-8.447793,45.05199,0,0,0,64.62325,-110.9235,-74.04465,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,,
6.38223E+17,34.4211,-0.9585064,-8.054807,-18.0121,14.55119,-7.025325,-4.570632,-0.4675641,0.1400836,-35.15147,-8.521038,45.12524,0,0,0,64.80621,-110.9152,-73.77765,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,,
6.38223E+17,34.4211,-0.8182371,-7.868029,-17.49938,14.91741,-5.706912,-4.570632,-0.4675641,0.1400836,-35.15147,-8.447793,45.05199,0,0,0,65.05244,-110.6489,-73.41834,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,,
6.38223E+17,34.4211,-0.1402692,-7.167611,-16.18097,15.8696,0.1527017,-4.570632,-0.4675641,0.1400836,-35.22471,-8.521038,45.05199,0,0,0,65.97344,-109.2844,-72.0743,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,,
6.38223E+17,34.4211,0.7013461,-6.093637,-14.13011,17.11477,11.13948,-4.570632,-0.4675641,0.1400836,-35.15147,-8.447793,45.05199,0,0,0,67.37148,-107.6143,-70.03413,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,,
6.38223E+17,34.39754,1.075397,-4.599411,-10.54109,18.35994,23.95738,-4.570632,-0.4675641,0.1400836,-35.15147,-8.447793,45.05199,0,0,0,69.27946,-107.0678,-67.1606,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,,
6.38223E+17,34.11483,1.16891,-2.895061,-6.366118,19.45862,35.09065,-4.570632,-0.4675641,0.1400836,-35.15147,-8.447793,45.12524,0,0,0,70.99682,-107.1095,-63.54656,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,,
6.38223E+17,33.19599,1.192288,-1.54092,-3.289821,20.48405,42.92788,-4.570632,-0.4675641,0.1400836,-35.15147,-8.447793,45.05199,0,0,0,71.03063,-107.177,-59.78721,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,,
6.38223E+17,31.94731,1.846878,-0.2801672,-2.85035,21.50948,47.90855,-4.570632,-0.4675641,0.1400836,-35.15147,-8.521038,45.05199,0,0,0,70.17902,-105.7007,-55.80992,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,,
6.38223E+17,31.26407,2.852141,0.5836816,-3.363066,21.65597,50.17915,-4.570632,-0.4675641,0.1400836,-35.15147,-8.447793,45.05199,0,0,0,69.82568,-103.3578,-53.34452,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,,
6.38223E+17,30.53371,3.997673,1.400836,-3.949028,20.99677,52.74273,-4.570632,-0.4675641,0.1400836,-35.15147,-8.521038,45.05199,0,0,0,69.2392,-100.6635,-50.96314,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,,
6.38223E+17,30.15675,4.41848,1.79774,-4.242009,20.63054,53.84141,-4.570632,-0.4675641,0.1400836,-35.15147,-8.521038,45.12524,0,0,0,68.89318,-99.661,-49.77387,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0.000344964,0,,
6.38223E+17,28.31907,5.4705,2.871714,-5.047705,19.60511,57.50367,-4.570632,-0.4675641,0.1400836,-35.15147,-8.521038,45.12524,0,0,0,66.13988,-97.11986,-45.61281,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0.003821089,0,,
6.38223E+17,27.49447,5.821173,3.151881,-5.633667,19.16564,58.38261,-4.570632,-0.4675641,0.1400836,-35.15147,-8.521038,45.05199,0,0,0,64.63021,-96.2734,-44.16728,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0.005537174,0,,
