Joint angle 0,Joint angle 1,Joint angle 2,Stylus X,Stylus Y,Stylus Z,Ball X,Ball Y,Ball Z,label
4.476392,54.9154,40.20399,12.70053,30.62466,-6.119882,0.02233222,0.1745118,0.1615589,0
4.452833,54.93878,40.20399,12.63037,30.65593,-6.159069,0.02222865,0.1746004,0.1615573,0
4.405713,54.93878,40.20399,12.49697,30.65593,-6.148737,0.02209577,0.1746471,0.1615906,0
4.358593,54.98553,40.20399,12.35681,30.71841,-6.227356,0.0219326,0.1747627,0.1615498,0
4.358593,55.17256,40.29738,12.34229,31.10802,-6.417821,0.02190229,0.1751944,0.1613935,0
4.358593,55.94404,40.88106,12.30815,33.00737,-6.865697,0.02190299,0.1768631,0.1609586,0
4.358593,56.94931,41.67487,12.26549,35.51931,-7.425422,0.02189572,0.1795933,0.1603981,0
4.311473,58.11822,42.6788,12.09076,38.54845,-7.977537,0.02166605,0.182839,0.1599875,0
4.193673,59.21699,43.63604,11.72012,41.40209,-8.510669,0.02125987,0.1856687,0.1595361,0
4.028753,60.45603,44.66332,11.20535,44.51637,-9.253407,0.02070395,0.1889261,0.1587925,0
3.793154,61.76521,45.73729,10.49109,47.76199,-10.11318,0.01994657,0.1922053,0.1579898,0
3.557554,63.19128,46.90466,9.77412,51.26052,-11.13637,0.01923995,0.1955857,0.157047,0
3.180595,64.92127,48.23545,8.654645,55.30801,-12.60392,0.01801974,0.1998076,0.1555931,0
2.780076,66.6045,49.37947,7.477512,58.91972,-14.36367,0.01679455,0.2033609,0.1538658,0
2.426676,68.28773,50.4301,6.441091,62.29276,-16.36159,0.01576095,0.2065486,0.1519598,0
1.861237,70.32163,51.64415,4.854752,66.16256,-18.9553,0.01403567,0.2104464,0.1493094,0
1.130878,72.16852,52.60139,2.896719,69.30303,-21.6072,0.01197458,0.2134212,0.1466439,0
0.3062795,73.82837,53.41854,0.7709447,71.95163,-24.13056,0.009801404,0.215746,0.1441957,0
-0.6832389,75.58173,54.42248,-1.689239,74.91643,-26.69866,0.007065629,0.2186918,0.1415532,0
-1.814117,77.35847,55.56649,-4.405661,78.0647,-29.25123,0.004135998,0.2217601,0.1390662,0
-2.968555,78.94819,56.64047,-7.091911,80.89896,-31.59225,0.001482391,0.2244201,0.1368098,0
-4.405713,80.79507,57.87787,-10.31424,84.07716,-34.47894,-0.001915029,0.227476,0.1337939,0
-5.607271,82.36141,58.74172,-12.87005,86.32179,-37.26236,-0.004529246,0.2295724,0.130923,0
-6.832388,83.78748,59.62892,-15.40373,88.49533,-39.7886,-0.006924382,0.231547,0.1284319,0
-8.222426,85.1668,60.67955,-18.23495,90.92517,-42.1581,-0.009855216,0.2340731,0.1259377,0
-9.918744,86.61625,61.96364,-21.62996,93.78879,-44.65484,-0.01323485,0.237004,0.1234947,0
-11.54438,87.76178,63.06097,-24.83335,96.18509,-46.77232,-0.01617526,0.2392499,0.1213816,0
-13.1229,88.60339,63.94816,-27.93765,98.09518,-48.51206,-0.01931109,0.2411561,0.1193955,0
-15.03126,89.5619,64.9054,-31.58381,100.1405,-50.73429,-0.02289941,0.2430211,0.1171266,0
-16.58621,90.23987,65.51243,-34.48246,101.4258,-52.57914,-0.0256443,0.2441067,0.1152458,0
-18.25897,90.87108,66.00272,-37.53377,102.452,-54.58515,-0.02873177,0.2449233,0.1129903,0
-19.97885,91.3854,66.44632,-40.66459,103.3733,-56.49649,-0.0317397,0.2456222,0.1109043,0
-21.46313,91.68932,66.81988,-43.4157,104.1524,-57.92447,-0.03423182,0.2461708,0.109362,0
-23.08876,91.99323,67.4269,-46.46901,105.4313,-59.34568,-0.03726563,0.2472686,0.1077043,0
-24.7144,92.06336,67.94054,-49.66423,106.5315,-60.44367,-0.04033482,0.2481617,0.1064399,0
-26.2458,92.06336,68.43084,-52.71777,107.5909,-61.42915,-0.04321592,0.2490116,0.1053824,0
-28.01279,92.03999,68.94447,-56.21922,108.7065,-62.67397,-0.0467991,0.2499219,0.1039488,0
-29.63843,91.94647,69.22465,-59.41718,109.3232,-63.92,-0.04991029,0.2503041,0.1024992,0
-31.26407,91.73607,69.27133,-62.62983,109.4405,-65.19635,-0.05294256,0.2501464,0.1010989,0
-33.14886,91.40878,69.27133,-66.40504,109.4614,-66.67452,-0.05680022,0.2499168,0.09938788,0
